Collection_LocationId,COLLECTION_LOCATION_UUID,branchNumber,COLLECTION_TYPE,FRIENDLY_IDENTIFIER,OPERATION_TYPE
0033,23357346-1112-43a1-9893-b1f109dd033d,11001,STORE_COLLECT,CA,POD
0014,e6cd866f-ab3b-4e3c-92c6-d4b3cc22aa9b,11002,STORE_COLLECT,CA,POD
0017,e34b798d-7ebc-4c07-9d19-71b6451cc476,11003,STORE_COLLECT,CA,POD
0047,06afe72a-1d3d-4f17-9b8f-6cea626a41bf,11004,STORE_COLLECT,CC,POD
0021,3383f263-156c-41e3-959a-057000b0db63,11004,STORE_COLLECT,CB,POD
0007,a2e4f400-adc7-4371-af64-6b6e4a0d6a66,11004,STORE_COLLECT,CA,POD
0009,149cf6bf-27bc-43e8-aa08-79fa14e05062,11005,STORE_COLLECT,CA,POD
0015,c584c8d2-8111-40c1-b07b-191e326ac9ad,11006,STORE_COLLECT,CA,POD
0029,40bc85c1-b6aa-4a20-859b-ede9d6b5ed34,11008,STORE_COLLECT,CA,POD
0036,9220d80c-cbf2-4461-930a-a559f96d6efe,11009,STORE_COLLECT,CA,POD
0031,31e2fe91-a8c7-4ea0-9e87-735c67afc4ef,11011,STORE_COLLECT,CA,POD
0032,f1470ebb-faf2-4417-a782-da703dce1538,11012,STORE_COLLECT,CA,POD
0039,d30d4d0f-08c7-4780-bc5f-35e2730495b0,11013,STORE_COLLECT,CA,POD
0016,9ee0e9b4-42b9-4698-8c9d-b710c1c01211,11016,STORE_COLLECT,CA,POD
0040,e349f0d9-7004-4ca9-8a1e-b363b680143f,11017,STORE_COLLECT,CA,POD
0038,44a612a6-77f5-474e-aced-cf77342f8e94,11018,STORE_COLLECT,CA,POD
0034,3f22379f-bba8-447b-81c1-a334e3b40488,11021,STORE_COLLECT,CA,POD
0012,b5b00ef6-d944-425f-9103-e1648f06a28d,11025,STORE_COLLECT,CA,POD
0048,cef11c91-50ed-4697-a3eb-f57c90334baa,11026,STORE_COLLECT,CA,POD
0030,48ae9d75-f619-436c-884b-af711da0406c,11027,STORE_COLLECT,CA,POD
0013,bda5f425-14e1-4ed7-bca2-e62938ee711f,11029,STORE_COLLECT,CA,POD
0008,6df4d374-1201-43bd-ba22-ce89e1f8bba2,11036,STORE_COLLECT,CA,POD
0035,44ff9b7a-7b70-45ee-968c-5acc59e1b7f9,11040,STORE_COLLECT,CA,POD
0041,ade2e86f-45fd-4ed6-8bb3-95cf6e9060b7,11048,STORE_COLLECT,CA,POD
0006,dc63e721-c248-4b49-b016-21ca90ca5a15,11080,STORE_COLLECT,CA,POD
7940,8486d4fc-067f-40bc-ad03-b896df6819a0,2006,STORE_COLLECT,CA,NONPOD
7516,e962c1a1-999b-4aa9-8147-01e238641bd6,2007,STORE_COLLECT,PA,POD
7102,145b282f-8f9f-4e0d-9cfd-2a2e1a51016f,2008,STORE_COLLECT,PA,POD
7737,f979bd6f-96ee-4cb3-9b2b-4fd84712c0bc,2015,STORE_COLLECT,CA,POD
7705,00ddde4d-ecca-4208-b709-37997ccdca0f,2019,STORE_COLLECT,CA,POD
7303,8c8f7255-52cd-4e80-8eb9-72910cbeede1,2019,COLLECT_FROM_LOCATION,SA,POD
7534,85516e32-2449-489e-be75-4c887549bd5f,2020,STORE_COLLECT,PA,POD
7544,8bfba16b-5e37-4de1-b4d4-8f766b571e1e,2020,COLLECT_FROM_LOCATION,SA,POD
7644,67b65218-6977-4897-aa8c-05058b7e93bc,2022,STORE_COLLECT,CA,POD
7106,309fe961-b661-4baf-b941-0d4d35d2668b,2025,STORE_COLLECT,PA,POD
7190,a09c6e31-ced8-4e5b-8764-b292b3e590f2,2030,STORE_COLLECT,PA,POD
7248,27ed5975-180e-45ad-a886-f446bfaf9833,2031,STORE_COLLECT,PA,POD
7833,3e3230f6-d47a-4b94-9665-6939c6efa46b,2031,COLLECT_FROM_LOCATION,LA,NONPOD
7169,5c426a6a-9d25-43fe-9bbf-a5d278c2474e,2038,STORE_COLLECT,CA,POD
7702,fc8761b4-582b-4f31-8256-56aafa6c40ca,2039,STORE_COLLECT,CA,POD
7811,7c1b1eb3-4149-4b77-9523-78fec06630b9,2040,STORE_COLLECT,PA,POD
7007,b4881676-5855-48b5-a58d-5bd17b5f1bbf,2041,STORE_COLLECT,PA,POD
7162,51804d24-8b62-473b-adfc-6b228944877b,2042,STORE_COLLECT,CA,POD
7170,246b8813-d3f1-4668-9180-1ba4ac4e1538,2044,STORE_COLLECT,CA,POD
